condition,n_cases,vas_accuracy,localizare_micro_f1,antecedente_micro_f1,medicatie_no_halluc_rate,medicatie_empty_correct,medicatie_empty_total,medicatie_caught,medicatie_positive_total,medicatie_fp,evalfunc_bertscore_f1_mean,motivul_manual_mean,motivul_kappa,meta_total,json_ok_rate,json_coerced_rate
cond1_gemini_zeroshot,15,0.5333333333333333,0.6829268292682927,0.8333333333333334,0.8571428571428571,12,14,0,1,4,0.4645305693149567,,,0,,
cond2_claude_zeroshot,15,0.5333333333333333,0.6976744186046512,0.8333333333333334,0.8571428571428571,12,14,0,1,4,0.5417097131411235,,,0,,
cond3_RoLlama_fewShot,15,0.3333333333333333,0.14814814814814814,0.0,1.0,14,14,0,1,0,0.5117199500401814,,,15,0.26666666666666666,0.7333333333333333
cond4_claude_fewshot,15,0.5333333333333333,0.6341463414634146,0.7692307692307693,0.8571428571428571,12,14,0,1,4,0.6567652861277262,,,0,,
cond5_RoLlama,15,0.5333333333333333,0.6382978723404256,0.5454545454545454,0.7857142857142857,11,14,0,1,5,0.6786481181780497,,,15,0.8666666666666667,0.13333333333333333
cond5_qwen,15,0.4666666666666667,0.5106382978723404,0.625,0.7857142857142857,11,14,0,1,5,0.5765223860740661,,,15,0.6,0.4
